,key,label,description,parent_category,meta_label,ld
0,AIDB1,Circuit,The code of the federal judicial circuit where the case was located,Appeals Integrated Database; Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database; Criminal Integrated Database,FJC-IDB,Circuit - The code of the federal judicial circuit where the case was located
1,AIDB10,Nature of original proceeding,Nature of the original proceeding,Appeals Integrated Database,FJC-IDB,Nature of original proceeding - Nature of the original proceeding
2,AIDB11,In forma pauperis,Indicates if appeal proceeded in forma pauperis,Appeals Integrated Database,FJC-IDB,In forma pauperis - Indicates if appeal proceeded in forma pauperis
3,AIDB12,Divisional office,The code of the circuit office where the case was located,Appeals Integrated Database,FJC-IDB,Divisional office - The code of the circuit office where the case was located
4,AIDB13,Administrative agency,The code of the U.S. government agency involved,Appeals Integrated Database,FJC-IDB,Administrative agency - The code of the U.S. government agency involved
5,AIDB14,Jurisdiction,Basis of jurisdiction for civil appeals,Appeals Integrated Database; Civil Integrated Database,FJC-IDB,Jurisdiction - Basis of jurisdiction for civil appeals
6,AIDB15,Nature of suit,Nature of suit for civil appeals,Appeals Integrated Database; Civil Integrated Database,FJC-IDB,Nature of suit - Nature of suit for civil appeals
7,AIDB16,Nature of offense,Nature of offense for criminal appeals,Appeals Integrated Database,FJC-IDB,Nature of offense - Nature of offense for criminal appeals
8,AIDB17,Other type,Additional information regarding bankruptcy or other appeals,Appeals Integrated Database,FJC-IDB,Other type - Additional information regarding bankruptcy or other appeals
9,AIDB18,District court Circuit,The code of the federal judicial circuit in which the case was originally filed,Appeals Integrated Database,FJC-IDB,District court Circuit - The code of the federal judicial circuit in which the case was originally filed
10,AIDB19,District court District,The code of the federal judicial district/bankruptcy court in which the case was originally filed,Appeals Integrated Database,FJC-IDB,District court District - The code of the federal judicial district/bankruptcy court in which the case was originally filed
11,AIDB2,Docket number,Docket number assigned by the circuit to the case,Appeals Integrated Database; Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database; Criminal Integrated Database,FJC-IDB,Docket number - Docket number assigned by the circuit to the case
12,AIDB20,District court Office,The code of the district/bankruptcy office in which the case was originally filed,Appeals Integrated Database,FJC-IDB,District court Office - The code of the district/bankruptcy office in which the case was originally filed
13,AIDB21,District court Docket,Docket number assigned to the case in the district/bankruptcy court,Appeals Integrated Database,FJC-IDB,District court Docket - Docket number assigned to the case in the district/bankruptcy court
14,AIDB22,District court Docket date,Date the case was docketed in the district/bankruptcy court,Appeals Integrated Database,FJC-IDB,District court Docket date - Date the case was docketed in the district/bankruptcy court
15,AIDB23,Notice of appeal date,Date the notice of appeal was filed in the lower court,Appeals Integrated Database,FJC-IDB,Notice of appeal date - Date the notice of appeal was filed in the lower court
16,AIDB24,AOUSC filing month,Month the case was entered on the appeals statistical file of the AOUSC,Appeals Integrated Database,FJC-IDB,AOUSC filing month - Month the case was entered on the appeals statistical file of the AOUSC
17,AIDB25,AOUSC filing year,Year the case was entered on the appeals statistical file of the AOUSC,Appeals Integrated Database,FJC-IDB,AOUSC filing year - Year the case was entered on the appeals statistical file of the AOUSC
18,AIDB27,Outcome,Type of disposition action for merit terminations,Appeals Integrated Database,FJC-IDB,Outcome - Type of disposition action for merit terminations
19,AIDB28,Procedural termination,Type of disposition action for procedural terminations after other judicial action,Appeals Integrated Database,FJC-IDB,Procedural termination - Type of disposition action for procedural terminations after other judicial action
20,AIDB29,Method of disposition,Type of disposition action for procedural terminations without judicial action,Appeals Integrated Database,FJC-IDB,Method of disposition - Type of disposition action for procedural terminations without judicial action
21,AIDB3,Reopen,Denotes reopened/remanded appeal,Appeals Integrated Database,FJC-IDB,Reopen - Denotes reopened/remanded appeal
22,AIDB30,Opinion/order,Opinion or order prepared by court to dispose of appeal,Appeals Integrated Database,FJC-IDB,Opinion/order - Opinion or order prepared by court to dispose of appeal
23,AIDB31,Determination of original proceeding,Determination of original proceeding outcome,Appeals Integrated Database,FJC-IDB,Determination of original proceeding - Determination of original proceeding outcome
24,AIDB32,Joined appeal,Type of joined appeal,Appeals Integrated Database,FJC-IDB,Joined appeal - Type of joined appeal
25,AIDB33,Joined appeal docket number,Docket number of joined appeal,Appeals Integrated Database,FJC-IDB,Joined appeal docket number - Docket number of joined appeal
26,AIDB34,Complete record date,Date the original briefing notice or schedule was issued by the court of appeals,Appeals Integrated Database,FJC-IDB,Complete record date - Date the original briefing notice or schedule was issued by the court of appeals
27,AIDB35,Last brief filing date,Date last brief was filed,Appeals Integrated Database,FJC-IDB,Last brief filing date - Date last brief was filed
28,AIDB36,Submission date,Date appeal was submitted on the merits,Appeals Integrated Database,FJC-IDB,Submission date - Date appeal was submitted on the merits
29,AIDB37,Oral hearing date,Date appeal was orally argued on the merits before a panel of the court,Appeals Integrated Database,FJC-IDB,Oral hearing date - Date appeal was orally argued on the merits before a panel of the court
30,AIDB38,Final judgment date,"Date final judgment, decree, or order was entered to announce decision of court",Appeals Integrated Database,FJC-IDB,"Final judgment date - Date final judgment, decree, or order was entered to announce decision of court"
31,AIDB39,Opinion ,Opinion ,Appeals Integrated Database,FJC-IDB,Opinion  - Opinion 
32,AIDB4,Docket date,Date the case was docketed in the court of appeals,Appeals Integrated Database,FJC-IDB,Docket date - Date the case was docketed in the court of appeals
33,AIDB40,Judge code 1,First judge ,Appeals Integrated Database,FJC-IDB,Judge code 1 - First judge 
34,AIDB41,Judge code 2,Second judge,Appeals Integrated Database,FJC-IDB,Judge code 2 - Second judge
35,AIDB42,Judge code 3,Third judge,Appeals Integrated Database,FJC-IDB,Judge code 3 - Third judge
36,AIDB43,Tape year,Statistical year ID label on data file obtained from the AOUSC which represents termination year,Appeals Integrated Database; Criminal Integrated Database,FJC-IDB,Tape year - Statistical year ID label on data file obtained from the AOUSC which represents termination year
37,AIDB44,Pro se at filing,Identifies pro se parties of time of filing,Appeals Integrated Database,FJC-IDB,Pro se at filing - Identifies pro se parties of time of filing
38,AIDB45,Pro se at termination,Identifies pro se parties of time of termination,Appeals Integrated Database,FJC-IDB,Pro se at termination - Identifies pro se parties of time of termination
39,AIDB46,Status code,Status of the case,Appeals Integrated Database,FJC-IDB,Status code - Status of the case
40,AIDB47,AOUSC termination month,Month the case was terminated on the appeals statistical file of the AOUSC,Appeals Integrated Database,FJC-IDB,AOUSC termination month - Month the case was terminated on the appeals statistical file of the AOUSC
41,AIDB48,AOUSC termination year,Year the case was terminated on the appeals statistical file of the AOUSC,Appeals Integrated Database,FJC-IDB,AOUSC termination year - Year the case was terminated on the appeals statistical file of the AOUSC
42,AIDB49,Certificate of probable cause decision,Status of petition for Certificate of Probable Cause,Appeals Integrated Database,FJC-IDB,Certificate of probable cause decision - Status of petition for Certificate of Probable Cause
43,AIDB5,US appellant,Indicates whether or not the United States initiated the appeal,Appeals Integrated Database,FJC-IDB,US appellant - Indicates whether or not the United States initiated the appeal
44,AIDB50,Certificate of probable cause decision made by,Indicates which court made the decision regarding the petition for Certificate of Probable Cause,Appeals Integrated Database,FJC-IDB,Certificate of probable cause decision made by - Indicates which court made the decision regarding the petition for Certificate of Probable Cause
45,AIDB51,Full judge panel,Indicates whether a single judge or full panel heard the case,Appeals Integrated Database,FJC-IDB,Full judge panel - Indicates whether a single judge or full panel heard the case
46,AIDB52,Counsel appointed,Indicates if counsel was appointed by court,Appeals Integrated Database,FJC-IDB,Counsel appointed - Indicates if counsel was appointed by court
47,AIDB53,Counsel continued,Indicates if counsel was continued from district court,Appeals Integrated Database,FJC-IDB,Counsel continued - Indicates if counsel was continued from district court
48,AIDB54,Counsel source District,Source of counsel in district court,Appeals Integrated Database,FJC-IDB,Counsel source District - Source of counsel in district court
49,AIDB55,Counsel source Circuit ,Source of counsel in circuit court,Appeals Integrated Database,FJC-IDB,Counsel source Circuit  - Source of counsel in circuit court
50,AIDB56,Statistical year,AOUSC statistical year in which the appeal was terminated,Appeals Integrated Database,FJC-IDB,Statistical year - AOUSC statistical year in which the appeal was terminated
51,AIDB6,Appellant name,Name of the party initiating the appeal,Appeals Integrated Database,FJC-IDB,Appellant name - Name of the party initiating the appeal
52,AIDB7,US appellee,Indicates whether or not the appeal was filed against the United States,Appeals Integrated Database,FJC-IDB,US appellee - Indicates whether or not the appeal was filed against the United States
53,AIDB8,Appellee name,Name of the party against whom the appeal was taken,Appeals Integrated Database,FJC-IDB,Appellee name - Name of the party against whom the appeal was taken
54,AIDB9,Type of appeal,Type of appeal at filing,Appeals Integrated Database,FJC-IDB,Type of appeal - Type of appeal at filing
55,AIDBB26,Disposition,Type of disposition action taken by court to terminate appeal,Appeals Integrated Database; Civil Integrated Database,FJC-IDB,Disposition - Type of disposition action taken by court to terminate appeal
56,BIDB1,Snapshot period,Snapshot ending date. September 30 of the snapshot year,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Snapshot period - Snapshot ending date. September 30 of the snapshot year
57,BIDB10,Origin,Code indicating whether the case originated from an inter-district or intra-district transfer or was split from another case,Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database,FJC-IDB,Origin - Code indicating whether the case originated from an inter-district or intra-district transfer or was split from another case
58,BIDB11,Original filing date,"Date on which the original case was filed for a case that has been split, transferred, or reopened",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Original filing date - Date on which the original case was filed for a case that has been split, transferred, or reopened"
59,BIDB12,Filing date,"Date petition filed for an original case, or date of split, transfer, or reopen",Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database; Criminal Integrated Database,FJC-IDB,"Filing date - Date petition filed for an original case, or date of split, transfer, or reopen"
60,BIDB13,Filing calendar year,Calendar year of the filing date,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Filing calendar year - Calendar year of the filing date
61,BIDB14,Filing fiscal year,Fiscal year of the filing date,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Filing fiscal year - Fiscal year of the filing date
62,BIDB15,Original filing chapter,"Chapter of the Bankruptcy Code as reported on the first record submitted to the AOUSC (i.e., the best representation of the chapter under which the case was originally filed)",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Original filing chapter - Chapter of the Bankruptcy Code as reported on the first record submitted to the AOUSC (i.e., the best representation of the chapter under which the case was originally filed)"
63,BIDB16,Original filing Subchapter V,"Code indicating a Chapter 11 Subchapter V small business debtor reorganization case as reported on the first record submitted to the AOUSC (i.e., the best representation of the subchapter under which the case was originally filed)",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Original filing Subchapter V - Code indicating a Chapter 11 Subchapter V small business debtor reorganization case as reported on the first record submitted to the AOUSC (i.e., the best representation of the subchapter under which the case was originally filed)"
64,BIDB17,Current chapter,"Chapter of the Bankruptcy Code as reported on the most current record received by the AOUSC as of the end of the snapshot period (i.e., the best representation of the chapter under which the case is currently being administered)",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Current chapter - Chapter of the Bankruptcy Code as reported on the most current record received by the AOUSC as of the end of the snapshot period (i.e., the best representation of the chapter under which the case is currently being administered)"
65,BIDB18,Current Subchapter V,"Code indicating a Chapter 11 Subchapter V small business debtor reorganization case as reported on the most current record received by the AOUSC as of the end of the snapshot period (i.e., the best representation of the subchapter under which the case is currently being administered)",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Current Subchapter V - Code indicating a Chapter 11 Subchapter V small business debtor reorganization case as reported on the most current record received by the AOUSC as of the end of the snapshot period (i.e., the best representation of the subchapter under which the case is currently being administered)"
66,BIDB19,Original nature of debt,Distinguishes whether debtor's debts are primarily consumer or business debts as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original nature of debt - Distinguishes whether debtor's debts are primarily consumer or business debts as reported on the first record submitted to the AOUSC
67,BIDB2,Filing indicator,Indicates whether the case was filed during the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Filing indicator - Indicates whether the case was filed during the snapshot period
68,BIDB20,Nature of debt,Distinguishes whether debtor's debts are primarily consumer or business debts as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Nature of debt - Distinguishes whether debtor's debts are primarily consumer or business debts as reported on the most current record received by the AOUSC as of the end of the snapshot period
69,BIDB21,Joint flag,Flag indicating if this is an individual or joint petition,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Joint flag - Flag indicating if this is an individual or joint petition
70,BIDB22,Debtor1 zip,Zip code for street address of first listed debtor,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor1 zip - Zip code for street address of first listed debtor
71,BIDB23,Debtor1 county,The five digit FIPS code for the county of residence of the first listed debtor,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor1 county - The five digit FIPS code for the county of residence of the first listed debtor
72,BIDB24,Original debtor1 filing prose,Code indicating whether the first listed debtor is currently represented by an attorney as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original debtor1 filing prose - Code indicating whether the first listed debtor is currently represented by an attorney as reported on the first record submitted to the AOUSC
73,BIDB25,Debtor1 filing prose,Code indicating whether the first listed debtor is currently represented by an attorney as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor1 filing prose - Code indicating whether the first listed debtor is currently represented by an attorney as reported on the most current record received by the AOUSC as of the end of the snapshot period
74,BIDB26,Debtor1 date prose change,Date of most recent change to filing prose status for first listed debtor,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor1 date prose change - Date of most recent change to filing prose status for first listed debtor
75,BIDB27,Debtor2 zip,Zip code for street address of second listed debtor,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor2 zip - Zip code for street address of second listed debtor
76,BIDB28,Debtor2 county,The five digit FIPS code for the county of residence of the second listed debtor,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor2 county - The five digit FIPS code for the county of residence of the second listed debtor
77,BIDB29,Original debtor2 filing prose,Code indicating whether the second listed debtor is currently represented by an attorney as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original debtor2 filing prose - Code indicating whether the second listed debtor is currently represented by an attorney as reported on the first record submitted to the AOUSC
78,BIDB3,Pending indicator,Indicates whether the case was pending as of the last day of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Pending indicator - Indicates whether the case was pending as of the last day of the snapshot period
79,BIDB30,Debtor2 filing prose,Code indicating whether the second listed debtor is currently represented by an attorney as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor2 filing prose - Code indicating whether the second listed debtor is currently represented by an attorney as reported on the most current record received by the AOUSC as of the end of the snapshot period
80,BIDB31,Debtor2 date prose change,Date of most recent change to filing prose status for second listed debtor,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor2 date prose change - Date of most recent change to filing prose status for second listed debtor
81,BIDB32,Original fee status,Status of payment of the filing fee as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original fee status - Status of payment of the filing fee as reported on the first record submitted to the AOUSC
82,BIDB33,Fee status,Status of payment of the filing fee as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Fee status - Status of payment of the filing fee as reported on the most current record received by the AOUSC as of the end of the snapshot period
83,BIDB34,Type case,Distinguishes voluntary from involuntary petitions,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Type case - Distinguishes voluntary from involuntary petitions
84,BIDB35,Original type debtor,Legal form of the debtor as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original type debtor - Legal form of the debtor as reported on the first record submitted to the AOUSC
85,BIDB36,Type debtor,Legal form of the debtor ,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Type debtor - Legal form of the debtor 
