key,label,description,parent_category
AIDB1,Circuit,The code of the federal judicial circuit where the case was located,Appeals Integrated Database; Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database; Criminal Integrated Database
AIDB10,Nature of original proceeding,Nature of the original proceeding,Appeals Integrated Database
AIDB11,In forma pauperis,Indicates if appeal proceeded in forma pauperis,Appeals Integrated Database
AIDB12,Divisional office,The code of the circuit office where the case was located,Appeals Integrated Database
AIDB13,Administrative agency,The code of the U.S. government agency involved,Appeals Integrated Database
AIDB14,Jurisdiction,Basis of jurisdiction for civil appeals,Appeals Integrated Database; Civil Integrated Database
AIDB15,Nature of suit,Nature of suit for civil appeals,Appeals Integrated Database; Civil Integrated Database
AIDB16,Nature of offense,Nature of offense for criminal appeals,Appeals Integrated Database
AIDB17,Other type,Additional information regarding bankruptcy or other appeals,Appeals Integrated Database
AIDB18,District court Circuit,The code of the federal judicial circuit in which the case was originally filed,Appeals Integrated Database
AIDB19,District court District,The code of the federal judicial district/bankruptcy court in which the case was originally filed,Appeals Integrated Database
AIDB2,Docket number,Docket number assigned by the circuit to the case,Appeals Integrated Database; Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database; Criminal Integrated Database
AIDB20,District court Office,The code of the district/bankruptcy office in which the case was originally filed,Appeals Integrated Database
AIDB21,District court Docket,Docket number assigned to the case in the district/bankruptcy court,Appeals Integrated Database
AIDB22,District court Docket date,Date the case was docketed in the district/bankruptcy court,Appeals Integrated Database
AIDB23,Notice of appeal date,Date the notice of appeal was filed in the lower court,Appeals Integrated Database
AIDB24,AOUSC filing month,Month the case was entered on the appeals statistical file of the AOUSC,Appeals Integrated Database
AIDB25,AOUSC filing year,Year the case was entered on the appeals statistical file of the AOUSC,Appeals Integrated Database
AIDB27,Outcome,Type of disposition action for merit terminations,Appeals Integrated Database
AIDB28,Procedural termination,Type of disposition action for procedural terminations after other judicial action,Appeals Integrated Database
AIDB29,Method of disposition,Type of disposition action for procedural terminations without judicial action,Appeals Integrated Database
AIDB3,Reopen,Denotes reopened/remanded appeal,Appeals Integrated Database
AIDB30,Opinion/order,Opinion or order prepared by court to dispose of appeal,Appeals Integrated Database
AIDB31,Determination of original proceeding,Determination of original proceeding outcome,Appeals Integrated Database
AIDB32,Joined appeal,Type of joined appeal,Appeals Integrated Database
AIDB33,Joined appeal docket number,Docket number of joined appeal,Appeals Integrated Database
AIDB34,Complete record date,Date the original briefing notice or schedule was issued by the court of appeals,Appeals Integrated Database
AIDB35,Last brief filing date,Date last brief was filed,Appeals Integrated Database
AIDB36,Submission date,Date appeal was submitted on the merits,Appeals Integrated Database
AIDB37,Oral hearing date,Date appeal was orally argued on the merits before a panel of the court,Appeals Integrated Database
AIDB38,Final judgment date,"Date final judgment, decree, or order was entered to announce decision of court",Appeals Integrated Database
AIDB39,Opinion ,Opinion ,Appeals Integrated Database
AIDB4,Docket date,Date the case was docketed in the court of appeals,Appeals Integrated Database
AIDB40,Judge code 1,First judge ,Appeals Integrated Database
AIDB41,Judge code 2,Second judge,Appeals Integrated Database
AIDB42,Judge code 3,Third judge,Appeals Integrated Database
AIDB43,Tape year,Statistical year ID label on data file obtained from the AOUSC which represents termination year,Appeals Integrated Database; Criminal Integrated Database
AIDB44,Pro se at filing,Identifies pro se parties of time of filing,Appeals Integrated Database
AIDB45,Pro se at termination,Identifies pro se parties of time of termination,Appeals Integrated Database
AIDB46,Status code,Status of the case,Appeals Integrated Database
AIDB47,AOUSC termination month,Month the case was terminated on the appeals statistical file of the AOUSC,Appeals Integrated Database
AIDB48,AOUSC termination year,Year the case was terminated on the appeals statistical file of the AOUSC,Appeals Integrated Database
AIDB49,Certificate of probable cause decision,Status of petition for Certificate of Probable Cause,Appeals Integrated Database
AIDB5,US appellant,Indicates whether or not the United States initiated the appeal,Appeals Integrated Database
AIDB50,Certificate of probable cause decision made by,Indicates which court made the decision regarding the petition for Certificate of Probable Cause,Appeals Integrated Database
AIDB51,Full judge panel,Indicates whether a single judge or full panel heard the case,Appeals Integrated Database
AIDB52,Counsel appointed,Indicates if counsel was appointed by court,Appeals Integrated Database
AIDB53,Counsel continued,Indicates if counsel was continued from district court,Appeals Integrated Database
AIDB54,Counsel source District,Source of counsel in district court,Appeals Integrated Database
AIDB55,Counsel source Circuit ,Source of counsel in circuit court,Appeals Integrated Database
AIDB56,Statistical year,AOUSC statistical year in which the appeal was terminated,Appeals Integrated Database
