key,label,description
1,Achievement-based acquisition of citizenship,"Acquisition of citizenship after birth based on special achievements (in sports, science, the arts, etc.). Can be based on achievements in the past or expected achievements in the future."
2,Acquisition of citizenship,"Becoming a citizen, whether by birth or at any time after birth, whether by automatic attribution, by individual declaration, registration, option or application, or by non-automatic attribution by public authorities."
3,Acquisition of citizenship after birth,"Acquisition of citizenship that does not take place automatically and immediately at birth; or soon after birth by declaration, registration, making use of an option or similar action, on the basis of conditions for the acquisition that were met already at the time of birth."
4,Acquisition of citizenship at birth,"Acquisition of citizenship that either occurs automatically (ex lege) and immediately at birth; or can occur immediately after birth by declaration, registration, making use of an option or similar action because all the conditions for acquisition had already been met at the time of birth."
5,Acquisition of citizenship by adoption,Automatic acquisition of citizenship as a result of the adoption of the person concerned by a reference person who is a national of the country under consideration.
6,Acquisition of citizenship by application,Acquisition of citizenship that requires an application by the person or his or her legal representative that initiates a procedure during which the public authorities have to assess criteria for granting citizenship.
7,Acquisition of citizenship by conferment,"Used in some countries for certain modes of acquisition of citizenship characterised by: non-automatic acquisition; and requiring not only an expression of intent by the person or his or her legal representative, but also an act by the responsible public authority."
8,Acquisition of citizenship by declaration,"Acquisition of citizenship by declaration is generally characterised by: facilitated procedure and conditions; voluntary acquisition; and/or the need for an oral or written declaration (by the person or by his/her legal representative) addressed to the relevant public authorities. In some countries, declaration is regarded as a unilateral act by the person concerned with immediate effect."
9,Acquisition of citizenship by descent,"The determination of a person's citizenship on the basis of the citizenship of his or her parents (or one parent or one particular parent) or ancestor(s) in direct line at the time of the person's birth or at the time of acquisition of citizenship by the person (the two points in time are different in cases of acquisition after birth). Ancestry-based ius sanguinis may, e.g. provide for the extraterritorial acquisition of citizenship after birth if an emigrant grandparent had never renounced his or her citizenship of origin. GLOBALCIT uses the term ius sanguinis in a broad way that covers not only automatic acquisition at birth, but also non-automatic acquisition at birth and after birth. Ius sanguinis generally applies to legal parenthood (in cases where legal parenthood differs from biological parenthood). We distinguish between territorial ius sanguinis in the country and extraterritorial ius sanguinis for children born abroad."
10,Acquisition of citizenship by legitimation,Automatic acquisition of citizenship by a child born out of wedlock based on legitimation (i.e. legal recognition of paternity) by a father who is a citizen of the country under consideration.
11,Acquisition of citizenship by registration,Acquisition of citizenship that comes into effect through an act of registration with the public authorities by the person or his or her legal representative. It is characterised by: a facilitated procedure and (substantially) facilitated conditions; voluntary acquisition; and a unilateral act by the person making use of the option.
12,Acquisition of citizenship otherwise than by descent,Citizenship gained by naturalisation or ius soli.
13,Acquisition/retaining of citizenship by option,"Acquisition of citizenship by option is characterised by: a facilitated procedure and (substantially) facilitated conditions; voluntary acquisition; and, in some countries by a unilateral act of the person making use of the option, the need for the person or his or her legal representative to choose one of two (or more) alternative nationalities that the person could acquire at birth or wishes to retain after birth."
14,Active registration,Voter registration system in which eligible voters are not registered automatically but need to apply to be registered in the electoral roll.
15,Active voting rights,"Usually refers to 'active voting rights', i.e., the right to cast a vote in an election."
16,Annulment of citizenship,"A determination by a public authority that a past acquisition of citizenship is null and void because it is established ex post that conditions required for the acquisition were in fact not met at the time of application or declaration by the person in question or at the time of decision by the responsible authority (whichever is applicable). As a result of this decision, the person is retrospectively deemed never to have been a citizen. Nullification may be a response to fraud by the person concerned, but also to an error committed by the public authority. Nullification can have a retroactive effect (ex tunc) or effect from the time of the decision (ex nunc)."
17,Assimilated representation (of non-resident voters),A system of representation of non-resident voters that merges their votes with those cast in domestic electoral constituencies and does not represent the former through reserved seats.
18,Attribution of citizenship,"Acquisition of citizenship without involving the consent or an expression of will by the person concerned, including automatic acquisition at birth or after birth and non-automatic acquisition based on a decision by public authorities."
19,Automatic acquisition of citizenship,"Ex lege acquisition of citizenship, i.e. acquisition of citizenship by an act of law that does not require some form of expression of intent by the person concerned or his or her legal representative in order to acquire citizenship."
20,Automatic loss of citizenship,"Ex lege loss of citizenship, i.e. by an act of law that requires neither explicit expression of intent (application, declaration, making use of an option or similar modalities) by the person or his or her legal representative to renounce citizenship, nor a decision by a public authority."
21,Automatic registration,Voter registration system in which eligible voters are automatically registered in the electoral register without having to apply.
22,Birthright citizenship,"Acquisition of citizenship that depends only on facts at the time of the person's birth, in particular the country of birth and/or the citizenship and/or residence status of one or both of the parents or ancestors."
23,Candidacy rights,"The right to stand as a candidate (or simply, 'the right to stand') in an election."
24,Citizenship,"A legal status and relation between an individual and a state or other territorial polity (such as the European Union, a federal province, or only partially recognised states) that entails specific legal rights and duties. Citizenship of a state is generally used as a synonym for nationality (see: nationality). Where citizenship is used in a meaning that is different from nationality it refers to the legal rights and duties of individuals attached to nationality under domestic law. In some national laws, citizenship has a more specific meaning and refers to rights and duties that can only be exercised by nationals after the age of majority (such as voting rights) or to rights and duties that nationals can only exercise in the national territory."
25,Citizenship ceremony,"Meeting organised by public authorities where newly naturalised persons are individually or collectively welcomed as new citizens of a state, which may include a sworn oath or pledge of loyalty."
26,Citizenship interview,An administrative procedure in which an official conducts an oral interview with persons applying for citizenship.
27,Citizenship law,Law regulating the acquisition and loss of the legal status of citizenship.
28,Citizenship requirements,"Legal requirements pertaining to the acquisition and loss of citizenship. This refers to birthright acquisition requirements, naturalisation requirements and conditions for voluntary or involuntary loss of citizenship."
29,Citizenship test,"A standardised oral or written exam that tests the knowledge of naturalisation applicants in any of the following areas: official or dominant languages, history, constitution, political institutions, public values, behavioural norms in civil society, or other characteristics aspects of the country of naturalisation."
30,Compulsory voting,"A legal duty to cast a vote in elections, independently of whether there is a sanction for non-compliance with this duty."
31,Consular protection,"The right of a citizen to receive protection from the diplomatic or consular authorities of a state. Traditionally, consular protection is provided by the state of which the person is a citizen, but this may also be another state with which the person has a privileged relation (e.g. another EU Member State for citizens of the European Union in third countries)."
32,Consular services,"Services provided by a sending state (including consular protection) involving the exercise of official functions, also electronically (e-government), in accordance with international agreements and practice, and the laws of the receiving state, in particular: issuing travel documents, acting as notary and civil registrar and in capacities of a similar kind, performing certain functions of an administrative nature, transmitting judicial and extrajudicial documents, executing rogatory letters or commissions to take evidence for the courts of the sending state, establishing a polling station or providing assistance for voting in elections of the sending state."
33,Cultural affinity-based acquisition of citizenship,"Acquisition of citizenship after birth on the basis of a particular cultural background, e.g. for persons of a particular ethnicity, mother tongue or colloquial language and/or religious affiliation. We include in this category also acquisition of citizenship based on presumed racial affinity."
34,Denationalisation,"Any form of involuntary loss of citizenship whether automatic or non-automatic (including lapse, withdrawal, nullification) that is not initiated by the person or his or her legal representative. Revocation can be either automatic (ex lege) or initiated by the responsible public authorities."
35,Denaturalisation,"Involuntary loss of citizenship acquired through naturalisation whether automatic or non-automatic (including lapse, withdrawal, nullification)."
36,Denizenship,"A quasi-citizenship status and set of rights for long-term resident foreign nationals that includes at least the following: long-term residence permit free access to employment, enhanced protection from deportation/expulsion (compared to short-term residents) provisions for family reunification in the country of residence. In several (mostly European and South American) states, denizens enjoy additional rights, such as voting and candidacy rights in local elections."
37,Deprivation of citizenship,"Any form of involuntary loss of citizenship whether automatic or non-automatic (including lapse, withdrawal, nullification) that is not initiated by the person or his or her legal representative. Revocation can be either automatic (ex lege) or initiated by the responsible public authorities."
38,Diplomatic protection,Is exercised by a state against another state in order to protect the rights or interests of a citizen that have been injured by that other state.
39,Direct election,"Election of a president, provincial governor, or mayor by citizens of the respective territorial polity."
40,Discretionary naturalisation,"Acquisition of citizenship following a decision by public authorities that is not based on an individual entitlement of the person concerned. The person may, but need not, be granted citizenship if the conditions specified in the law have been met."
41,Domestic ius sanguinis,Ius sanguinis for persons born on the territory of the country under consideration. Some countries limit the principle of jus sanguinis by imposing additional conditions for extraterritorial ius sanguinis (such as domestic birth of the parent transmitting citizenship to the child born abroad) that do not apply to domestic ius sanguinis.
42,Dual citizenship,Legal status of citizenship held by a person simultaneously in two (dual citizenship) or more states. Multiple citizenship may be acquired at birth or after birth and with or without the knowledge and consent of all the states involved. The term 'multiple citizenship' refers only to the legal status of citizenship a person holds in several states and does not specify the person's rights and obligations vis-à-vis the state of second or third citizenship where the person does not currently reside. (Some states distinguish between citizenship that can only be held by residents of the state and nationality that may also be held by expatriates.)
43,Dual nationality,Legal status of citizenship held by a person simultaneously in two (dual citizenship) or more states. Multiple citizenship may be acquired at birth or after birth and with or without the knowledge and consent of all the states involved. The term 'multiple citizenship' refers only to the legal status of citizenship a person holds in several states and does not specify the person's rights and obligations vis-à-vis the state of second or third citizenship where the person does not currently reside. (Some states distinguish between citizenship that can only be held by residents of the state and nationality that may also be held by expatriates.)
44,Effective nationality/genuine link,A principle used primarily in private international law in cases of conflicting rights and duties of multiple citizens in order to determine the state whose law ought to prevail. In its 1955 Nottebohm judgment the International Court of Justice extended the principle to cover also cases of singular nationality and alleged abusive acquisition of another country's nationality in order to avoid duties towards a state of current residence or to benefit from diplomatic protection against that state.
45,Electoral rights,Include the right to cast a vote (active voting rights) and the right to stand as a candidate (candidacy rights).
46,Entitlement to acquire citizenship,"Acquisition of citizenship based on a decision by the public authorities that must be granted by them if and when the relevant conditions specified by the law have been met. Whether or not the acquisition is based on a legal entitlement depends primarily on the mode of the authorities' final decision, not on the actual contents or clarity of the conditions themselves. The conditions themselves may leave some room for discretion by the authorities (e.g. stable income, good character) but, if the authorities come to the conclusion that the conditions specified by law are met, they have to grant citizenship to the person."
47,European Union citizens,Individuals who are nationals of any of the Member States of the European Union (EU).
48,European Union citizenship,"The legal status and rights of EU citizens, as defined in Articles 18, 20 and 21 of the Treaty on the Functioning of the European Union and the Directive 2004/38/EC (commonly termed the Citizenship or Free Movement Directive). These include the rights to: non-discrimination on the basis of (EU) nationality, move and reside freely within the EU, vote for and stand as a candidate in European Parliament and municipal elections, consular protection (help from the embassy or consulate of any other EU country to EU citizens in distress in a country outside the EU where they have no embassy or consulate of their own country), petition the European Parliament and complain to the European ombudsman, contact and receive a response from any EU institution in one of the EU's official languages, access European Parliament, European Commission and Council documents under certain conditions."
